REPOSITORY                      TAG                      IMAGE ID       CREATED        SIZE
langfuse/langfuse-worker        3                        2bbeff849540   11 hours ago   1.9GB
langfuse/langfuse               3                        e9214729f0c6   11 hours ago   1.19GB
ghcr.io/open-webui/open-webui   main                     a5ce467e3374   2 days ago     6.25GB
searxng/searxng                 latest                   67ee37bc396f   2 days ago     261MB
ollama/ollama                   latest                   64fcc2a7c48a   5 days ago     5.58GB
neo4j                           latest                   f43cf862a088   6 days ago     1.09GB
supabase/studio                 2025.06.30-sha-6f5982d   5f97d0ce3919   7 days ago     1.16GB
supabase/supavisor              2.5.6                    7ac65cf9576b   8 days ago     1.33GB
clickhouse/clickhouse-server    latest                   97f0fe0f8729   10 days ago    985MB
flowiseai/flowise               latest                   54ba813af426   10 days ago    4.59GB
supabase/storage-api            v1.24.7                  1facacb99041   12 days ago    895MB
n8nio/n8n                       latest                   ae08af2be497   12 days ago    1.63GB
minio/minio                     latest                   064117214cac   2 weeks ago    227MB
valkey/valkey                   8-alpine                 81681ebc32ea   3 weeks ago    61.5MB
supabase/gotrue                 v2.176.1                 b85903558138   3 weeks ago    70.4MB
postgres                        latest                   3962158596da   4 weeks ago    640MB
supabase/postgres-meta          v0.89.3                  8af5e9c9c336   5 weeks ago    568MB
supabase/logflare               1.14.2                   4fe22c67b305   5 weeks ago    706MB
qdrant/qdrant                   latest                   419d72603f53   6 weeks ago    293MB
postgrest/postgrest             v12.2.12                 5f4ce744539b   2 months ago   621MB
caddy                           2-alpine                 e2e3a089760c   2 months ago   69.1MB
supabase/realtime               v2.34.47                 4d2460cb6eb0   2 months ago   288MB
supabase/postgres               15.8.1.060               0e2279598bc0   3 months ago   2.92GB
supabase/edge-runtime           v1.67.4                  358930e39ff3   3 months ago   973MB
timberio/vector                 0.28.1-alpine            4bc04aca94a4   2 years ago    160MB
kong                            2.8.1                    1b53405d8680   2 years ago    212MB
darthsim/imgproxy               v3.8.0                   0facd355d50f   2 years ago    235MB
